Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\pos GCD EIS Nb2 H2SO4 1M\2-EIS frequency scan-FrequencyScan.txt;1;1;474,50451996;200249,999999822;0,848141692060567;3,00030678244631;16,420518854456;2,87793267103001
;2;2;475,2804781;158860,485739096;1,070673091459;3,07923266773884;20,3471753733579;2,88709766951097
;3;3;476,28751468;126183,269646263;1,28103469199552;3,2049763829563;23,5595352053926;2,9378263619914
;4;4;477,2827161;100227,677540783;1,58361530514538;3,37907897410221;27,9468916135822;2,98501880706453
;5;5;478,59632512;79611,0876933198;1,92149293557968;3,62383568506787;32,0214912430365;3,07246643120615
;6;6;479,61029536;63235,2803058247;2,35407976296672;3,94273382027696;36,660188104279;3,1628244414046
;7;7;480,89989456;50227,936726169;2,84463730818061;4,35134741362981;40,8239606149693;3,29275916201137
;8;8;482,354308;39896,1721300446;3,48746382281885;4,90189846074844;45,3531498766649;3,44473578145228
;9;9;483,39124272;31689,6264184765;4,23612977716079;5,58804676544598;49,2943343907396;3,64437527758365
;10;10;484,72077944;25171,1472286302;5,1610730344952;6,45356001967262;53,1038460767242;3,87450152408324
;11;11;486,08732496;19993,5033766323;6,2668708503996;7,52867791666344;56,3460622808247;4,17220815842973
;12;12;487,12504604;15880,8882903356;7,61812007269989;8,86130759989705;59,2835982354646;4,52625882356722
;13;13;488,42679296;12614,2281387537;9,24615843048273;10,4990113650424;61,7232229599832;4,97371027721785
;14;14;489,80612528;10019,5120464972;11,2297724860431;12,5080643946515;63,87071281859;5,50852837084987
;15;15;490,85896858;7958,3333331853;13,6157421142356;14,9530511077237;65,5837062810961;6,1810439335784
;16;16;491,74082738;6321,42857140319;16,504265586668;17,9252265615006;67,0328057975066;6,99449531602186
;17;17;492,53710386;5021,42857140319;19,9957858731853;21,5407202719997;68,1680236006285;8,0106914277272
;18;18;495,0633979;3986,66666654824;24,2914300450805;25,9965704259229;69,1328777642149;9,26002701264562
;19;19;495,54056796;3168;29,3757932377912;31,2939304535013;69,8353318597027;10,7876250805779
;20;20;496,00557296;2513,99999982236;35,5363094661224;37,7279724420568;70,3746265739392;12,671646069733
;21;21;496,39801142;1993,33333309649;42,9940737702227;45,5374743912646;70,760093639962;15,0057054008043
;22;22;496,81691834;1586,66666654824;51,8030479645418;54,7813828706012;71,0200334570353;17,816961884642
;23;23;497,18565898;1265,99999982236;62,2446465925458;65,7674860087832;71,1619328413316;21,2359644585444
;24;24;497,54960442;1006,66666654824;74,9186565194683;79,1242781764627;71,2353480673578;25,4528250350366
;25;25;498,17381822;793,333333096486;90,7863027412987;95,887016360579;71,2277017284956;30,8572056592819
;26;26;498,49133806;629,999999822364;109,194579400642;115,376965060988;71,1585320176537;37,2610774965163
;27;27;498,80065466;506,666666548243;129,823567433514;137,284702741139;71,0235125626545;44,6422551576272
;28;28;499,13817938;393,333333096486;158,806340981998;168,163500594191;70,7965862562096;55,3128284939591
;29;29;499,4571576;317,142856838339;188,082858322492;199,304017465256;70,6822092871407;65,9312504282491
;30;30;499,75546476;257,142856838339;221,644871164972;235,198441668656;70,4541204383153;78,6883603185821
;31;31;500,0701529;193,333333096486;277,032743545504;294,451489852614;70,1936817504915;99,7724354723043
;32;32;500,4860825;157,499999777955;324,320359142188;345,462437321833;69,8511061914196;118,998320350431
;33;33;500,81786822;125,999999822364;385,813069203869;411,759393078564;69,5515153015457;143,854347935396
;34;34;501,1549089;106,666666548243;438,722403555992;468,914656667446;69,3273212209991;165,540351140143
;35;35;501,45943706;80;546,558818358586;586,031063354287;68,8509158730955;211,437615600022
;36;36;501,77193802;65,9999998223643;632,003877053188;678,804580960805;68,5997511172035;247,682778010728
;37;37;502,1180957;53,9999998223643;734,632502595358;791,208021717388;68,2013783410769;293,811537827268
;38;38;502,42900902;40;921,265087600526;998,031874295727;67,3808658452695;383,846662716555
;39;39;502,70887218;29,9999998223643;1133,17116456644;1233,48036346923;66,7335606053526;487,233946743571
;40;40;502,99573898;25,7142856127796;1272,25929640292;1388,14443733928;66,4222244188967;555,24882857357
;41;41;503,28271534;20;1521,50323850935;1672,71907484952;65,4499653754373;694,99424355243
;42;42;503,5702017;17,1428568383388;1700,29847240927;1870,59444913932;65,3622407242555;779,813245510452
;43;43;503,8494817;12;2169,47569341033;2397,73559137743;64,7966141008174;1021,03436859873
;44;44;504,11885458;9,99999982236431;2461,35962145314;2732,78087611931;64,2475242964533;1187,35004559038
;45;45;504,40508942;8,57142841916941;2750,38273577203;3028,60054761206;65,2490882297269;1267,99687845169
;46;46;504,72481486;5,99999982236432;3508,06129057099;3993,57073138531;61,4532196947081;1908,43212302005
;47;47;505,08706066;4,99999973354647;4052,8957027144;4526,79287241956;63,5486391474001;2016,40525011906
;48;48;505,49955898;3,74999980015985;4944,51532798589;5668,91392684786;60,7171396928724;2772,7879979043
;49;49;505,97483966;3,15789458725416;5714,68938171587;6467,40288334913;62,0814705211019;3028,13892119509
;50;50;506,51383742;2,49999986677324;6595,9687246566;7558,2159910306;60,7725882063711;3690,50478260396
;51;51;507,14650554;1,99999982236431;7712,51493077822;8619,40879949056;63,4807858049855;3848,5479723213
;52;52;507,89627154;1,5789471159914;8524,93367683857;10256,3506798531;56,2207480567704;5702,47622297786
