Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\EIS - OCP\2-EIS frequency scan-FrequencyScan.txt;1;1;1000249,99999982;69,2500936;1,37003244712242;3,75034449323273;21,4265650502328;3,49114521493346
;2;2;794578,234724064;70,4487934;0,534996988348663;2,8442237565867;10,8418923203483;2,79345431320973
;3;3;631207,344479913;71,14979374;0,159897553950247;2,23309721705549;4,10609157429481;2,22736524913668
;4;4;501437,233627252;73,40129384;0,0710991079633668;1,82785299370817;2,2292311196404;1,82646967767185
;5;5;398357,170553439;74,37019306;0,045492870245712;1,60396074768253;1,62528856556609;1,60331546454936
;6;6;316477,766016677;75,25349374;0,051717113871813;1,46831261372838;2,01849752765199;1,46740153733279
;7;7;251438,643150781;76,04029408;0,0637989715005891;1,39109103160932;2,62865217628825;1,38962726997542
;8;8;199776,231496601;76,99189334;0,0804142529584533;1,35287228159838;3,40764958873241;1,35048026947391
;9;9;158489,319245876;77,73815748;0,0977346408816205;1,33489575897523;4,19867799307202;1,3313131214338
;10;10;125892,541179194;79,01589544;0,11779922430655;1,32912366005906;5,08475337177787;1,32389314012936
;11;11;100000;80,2027986;0,138768404739877;1,32953313886168;5,99108879024405;1,32227141585128
;12;12;79432,8234721399;81,74900974;0,164948022708655;1,33842973515694;7,07912684466887;1,3282267523871
;13;13;63095,7344477959;82,86718266;0,196576621000676;1,35014892408823;8,37180825342143;1,3357618609964
;14;14;50118,7233625298;84,20838514;0,228937938118468;1,36678354752203;9,64256749029787;1,34747344547748
;15;15;39810,7170550419;86,39070266;0,270099866312565;1,38900933987084;11,2128902932273;1,36249514071294
;16;16;31622,7766013657;87,21684242;0,319120912110374;1,41567215340275;13,0275808533908;1,37923511025996
;17;17;25118,8643150248;88,92963742;0,38009124269105;1,4486318451643;15,2112979074118;1,39787870362693
;18;18;19952,6231495358;90,56065526;0,45282681963113;1,48878600627374;17,7075404286091;1,41824949987626
;19;19;15848,93192441;91,39496598;0,5432089986352;1,53994010444301;20,6554161705552;1,44095090446333
;20;20;12589,2541178838;93,00322394;0,654645569007154;1,60579553172013;24,0589777448514;1,46629412761275
;21;21;10000;95,15479362;0,792553528710376;1,69228432528325;27,9261780445417;1,49522076688632
;22;22;7942,85714280639;96,04530852;0,962664967687537;1,80643240539849;32,2022487873621;1,5285529743064
;23;23;6309,99999982236;97,24937384;1,17312164279347;1,95811344536503;36,8060473036619;1,56779905476718
;24;24;5012,49999968914;98,07935148;1,43290752540595;2,15875871399636;41,5876153823265;1,61462540822639
;25;25;3980;98,6238286;1,75491874332396;2,42443859551851;46,3728839148089;1,67277096691987
;26;26;3162,85714280639;99,40826548;2,15018250230842;2,76741968623422;50,9833389087102;1,74221896629655
;27;27;2512,49999968914;99,85976996;2,63628837173794;3,20808846343207;55,2616673256786;1,82806324022044
;28;28;1993,33333309649;100,38264252;3,23902878115328;3,7732387146196;59,1397948186986;1,93546453141485
;29;29;1585,71428561278;100,73278298;3,96998901499378;4,47602889059424;62,491764922225;2,06737075781366
;30;30;1253,99999982236;101,20325852;4,89206889743101;5,37920931441431;65,4280979773282;2,23686270277588
;31;31;1006,66666654824;101,56610224;5,94869327724248;6,42701942099836;67,7553328781676;2,43302834574119
;32;32;793,333333096486;101,91421604;7,34832041470615;7,82920642060427;69,8140947295483;2,70160327569463
;33;33;629,999999822364;102,28393588;9,00838967537472;9,50337025493348;71,4263970460423;3,02703843037326
;34;34;506,666666548243;103,26579868;10,9207192989526;11,4384537799032;72,6954867053788;3,40236900827446
;35;35;393,333333096486;103,60382344;13,6425032647952;14,2037794959753;73,8391350515157;3,95341076038672
;36;36;317,142856838339;103,92170166;16,4812355975565;17,0939530774037;74,6130563602322;4,535648243671
;37;37;257,142856838339;104,22170882;19,7966608918132;20,4730791019348;75,2308079215313;5,21911730550637
;38;38;193,333333096486;104,57259692;25,3984268776522;26,1870625534345;75,9029438231662;6,37825660490782
;39;39;157,499999777955;104,89662652;30,3679687419333;31,2597632179008;76,2812323289278;7,41345202508123
;40;40;125,999999822364;105,22901224;36,8724839406698;37,9018894560706;76,6159262676438;8,77343446919408
;41;41;106,666666548243;105,56875292;42,6216895348156;43,7752126758206;76,8175852596529;9,98302689624286
;42;42;80;105,87458112;54,6988462436888;56,1117561345395;77,1150281648131;12,512609484489
;43;43;65,9999998223643;106,18898204;64,624720102508;66,2502884245845;77,2814267769498;14,5858242143916
;44;44;53,9999998223643;106,53433972;76,9235108981363;78,8016618601974;77,4656573676454;17,1019116777393
;45;45;40;106,84905304;99,7894840759199;102,120442119242;77,7347027090575;21,6943210654586
;46;46;29,9999998223643;107,1276162;127,933304452736;130,807186792251;77,967533098557;27,2688417118614
;47;47;25,7142856127796;107,415883;146,246594990119;149,444527141423;78,1256526273231;30,7506121291836
;48;48;20;107,70235936;182,073434858039;185,868095745975;78,4025276026839;37,3659381687429
;49;49;17,1428568383388;107,99004576;208,434759725863;212,706788009858;78,4974646947457;42,4161361216722
;50;50;12;108,26782572;285,05257607191;290,410816559683;78,9766815151201;55,5290126837324
;51;51;9,99999982236431;108,5386986;335,675195795974;341,913062106419;79,038744327492;65,0131138026975
;52;52;8,57142841916941;108,82643348;385,931133100141;392,589981543833;79,4322298708614;72,0003757811611
;53;53;5,99999982236432;109,15865892;528,400962417955;536,807981817951;79,8464572359106;94,6320889510566
;54;54;4,99999973354647;109,52170468;621,482507097349;632,183413841824;79,4429911355174;115,824704224512
;55;55;3,74999980015985;109,93670304;805,774136242114;817,770169401475;80,1740815265129;139,556767396616
;56;56;3,15789458725416;110,41838368;952,303907179891;965,502578580323;80,5153347542442;159,099018272162
;57;57;2,49999986677324;110,96028144;1157,1455451499;1174,28413689979;80,1990487920421;199,893525443497
;58;58;1,99999982236431;111,60384956;1427,25896180841;1444,36346206688;81,1735900052202;221,625058356238
;59;59;1,5789471159914;112,35751556;1756,05319977263;1779,96021371899;80,5988183717681;290,749930336828
;60;60;1,24999993338662;113,2706086;2146,53342304208;2180,79884192843;79,829831646886;385,068633777979
;61;61;0,999999733546472;114,36004484;2649,27027584933;2675,72524676857;81,936399741454;375,329990402964
;62;62;0,794328163631598;119,12847714;3277,74170889453;3312,22763028792;81,7248477532164;476,719167451731
;63;63;0,630957334661811;121,74250236;4039,78993646325;4079,51542929348;81,9975855395712;567,929051109214
;64;64;0,501187006056222;124,7306619;5004,82904272312;5053,31961914459;82,0562454747516;698,373414690718
;65;65;0,398107149667568;128,196858;6176,71509815313;6231,92000236314;82,3680301825311;827,657847241807
;66;66;0,316227757014633;132,246544;7710,36880995557;7773,5953719063;82,687409576689;989,443187144797
;67;67;0,251188582572927;137,0218544;9514,2463983968;9599,25633693899;82,3691184256434;1274,6912147092
;68;68;0,199526085755936;142,73942924;11576,2368337722;11708,0988547049;81,3927830450365;1752,23273567065
;69;69;0,158489045074078;149,63000494;14729,8442159216;14914,0304318862;80,9860187077159;2336,66281219767
;70;70;0,125892186330241;158,00995724;17988,199277796;18161,1651100893;82,0860878748975;2500,52092537187
;71;71;0,0999996536104142;168,2575266;22777,2579352251;23027,1651918805;81,5510958695352;3383,32051783135
