Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω);S2.Potential (V)
C:\Users\gpnan\AppData\Local\Temp\EIS Nb2 H2SO4\2-EIS frequency scan-FrequencyScan.txt;1;1;100000;194,14997012;0,144135307851147;1,33711011529018;6,18828816689473;1,3293188005298;0,121536140831617
;2;2;79432,8234721399;196,48718126;0,167341266695443;1,33492824349896;7,20131486810094;1,32439809564647;0,121441564009506
;3;3;63095,7344477959;197,86375418;0,190170716027738;1,34830913589232;8,10825403362911;1,33483056029452;0,121523776129494
;4;4;50118,7233625298;199,16055666;0,259564230673804;1,36965185775151;10,9242539571199;1,34483181907512;0,121514432612927
;5;5;39810,7170550419;200,49137418;0,259539330674335;1,38407279647598;10,8080051896329;1,3595208132934;0,121489146762356
;6;6;31622,7766013657;201,59311394;0,3037059380801;1,41080598115589;12,4314402217231;1,3777286451403;0,121476093655437
;7;7;25118,8643150248;202,93190894;0,357613901809766;1,44395381108366;14,3392622811075;1,39896922974575;0,121497653112296
;8;8;19952,6231495358;204,44712678;0,420690965809612;1,48105495470691;16,5019621929598;1,4200503125411;0,121474391854633
;9;9;15848,93192441;205,6166375;0,499086729226681;1,52870771057766;19,0550359109872;1,44494280201307;0,121468561042736
;10;10;12589,2541178838;206,74529542;0,595059204388082;1,58862009878322;21,9981189012629;1,47296244403279;0,12149551485575
;11;11;10000;208,4048651;0,712371997985213;1,6640511982487;25,3467246855708;1,503859211123;0,121492490162846
;12;12;7942,85714280639;209,30788004;0,857124870997371;1,76158191897095;29,1150863885563;1,53899571564157;0,121483278374585
;13;13;6309,99999982236;210,35544532;1,0352326843159;1,88804651280576;33,2510728170858;1,57892777663897;0,121493556566536
;14;14;5012,49999968914;211,16162296;1,25479077282538;2,05303788212534;37,6754053573905;1,62495066444307;0,121486822652208
;15;15;3980;211,87250008;1,52714981114703;2,27019352214603;42,2754760358804;1,67975953109586;0,121487772814929
;16;16;3162,85714280639;212,435737;1,86044858230431;2,54976475964359;46,8574785129352;1,74356858256915;0,121509631766617
;17;17;2512,49999968914;212,88814148;2,27154158025936;2,91105662371898;51,2894391204359;1,82053550244178;0,121448935659998
;18;18;1993,33333309649;213,45361404;2,78106512737651;3,3759460714759;55,4658426768515;1,91381520393267;0,121499230797092
;19;19;1585,71428561278;213,80405446;3,40013102716776;3,95792671489874;59,212178813759;2,02590544660905;0,121536817606123
;20;20;1253,99999982236;214,26263004;4,18176598616595;4,70983075652541;62,6080842154568;2,16687309089808;0,121550382842787
;21;21;1006,66666654824;214,62637376;5,07809726241695;5,5853847042516;65,3917166872619;2,32582254007505;0,121533934508761
;22;22;793,333333096486;214,97558756;6,27048776304915;6,76531846066843;67,9501742962931;2,53978681934369;0,121494781081875
;23;23;629,999999822364;215,2935074;7,69037422755241;8,18138666498602;70,048903759741;2,79163607983001;0,121512222319841
;24;24;506,666666548243;215,607224;9,32521787085634;9,82122754411651;71,7129027379633;3,08169144048756;0,121524276296298
;25;25;393,333333096486;216,61460824;11,6814326916497;12,1933035926982;73,3394903495007;3,49582361885774;0,121474955370029
;26;26;317,142856838339;216,95908646;14,1368670155064;14,6731802587507;74,4612339359603;3,9308027032246;0,121463911800989
;27;27;257,142856838339;217,27479366;17,0318128675655;17,6002127727927;75,3990387232286;4,43676008950278;0,12146019558929
;28;28;193,333333096486;217,63868176;21,933400131823;22,5628769120172;76,4342082615297;5,29238823256476;0,121521643246214
;29;29;157,499999777955;217,96391136;26,3182510930954;27,0006737895504;77,0908979058673;6,03208458913634;0,121543728904254
;30;30;125,999999822364;218,30649708;32,0870335204428;32,8448707207761;77,6680880633349;7,01482804653612;0,12154188378528
;31;31;106,666666548243;218,66773776;37,2271962982093;38,0492730467733;78,0682078672009;7,86657709315187;0,121466047555546
;32;32;80;218,97626592;48,1145727627947;49,0753239625917;78,644073183227;9,66309007963103;0,121464816631971
;33;33;65,9999998223643;219,28906688;57,151137467829;58,2223386129598;78,9923036410828;11,1170229690985;0,121490563224455
;34;34;53,9999998223643;219,63572456;68,3978619645803;69,6164718952688;79,2638260833114;12,9686405540041;0,121481426465542
;35;35;40;219,94853788;89,5266081058474;91,0192795694856;79,6092149920577;16,4163240224539;0,121587657829899
;36;36;29,9999998223643;220,79258224;116,010089549854;117,802861854345;79,9913709641742;20,4737242266452;0,121469324927565
;37;37;25,7142856127796;221,09554904;133,195583562169;135,216575806174;80,081467949496;23,2907469240454;0,121426398079321
;38;38;20;221,3818254;166,947290008637;169,39723850139;80,2436412441538;28,7058664852468;0,121431533174756
;39;39;17,1428568383388;221,6717118;191,842052740687;194,609345645733;80,3261505347702;32,7020521206236;0,121424946136744
;40;40;12;221,95039176;264,601808751898;268,311342330457;80,4615149897739;44,4618851196823;0,121398337474165
;41;41;9,99999982236431;222,23386464;311,560671650465;315,826855426679;80,5719263292358;51,7353891394969;0,121491309226483
;42;42;8,57142841916941;222,52069952;358,609373789661;363,603615833071;80,4927112539586;60,057526398204;0,121389000163984
;43;43;5,99999982236432;222,84422492;494,323763177895;501,013623402402;80,6264128729299;81,6006617157528;0,121468085362468
;44;44;4,99999973354647;223,20717072;581,877614002172;589,758680856642;80,622700549886;96,092372064103;0,121428108030511
;45;45;3,74999980015985;223,63246904;754,881127910702;765,112602151198;80,6194302229241;124,706762827213;0,121457335214282
;46;46;3,15789458725416;224,10394972;878,538471084148;890,372144912139;80,6482297615413;144,681412975445;0,121447551677855
;47;47;2,49999986677324;224,64604748;1082,20917579509;1097,18006096058;80,5241651933034;180,630523429385;0,121359625816807
;48;48;1,99999982236431;225,2906156;1320,44483154602;1338,57935794545;80,5580824536456;219,590856733734;0,121455834239952
;49;49;1,5789471159914;226,0524816;1634,00582888581;1655,78403088895;80,69697979685;267,66715919977;0,121430318022883
;50;50;1,24999993338662;226,95717464;2015,74966836366;2043,7348283261;80,5073804717748;337,053887390315;0,121323844374612
;51;51;0,999999733546472;228,04831088;2461,70876629041;2495,49782720374;80,5607314233627;409,266851268857;0,121411562023699
;52;52;0,794328163631598;235,28316866;3043,85716671073;3083,65444888207;80,7849080467406;493,820117830269;0,121527735339968
;53;53;0,630957334661811;237,90489388;3745,93314201478;3795,00019107032;80,7765002019019;608,285579131264;0,121525260556431
;54;54;0,501187006056222;240,89595342;4612,32684426061;4672,45427551276;80,7982960958123;747,174704115732;0,121592421984921
;55;55;0,398107149667568;244,35364952;5676,01066636777;5749,03650823616;80,8580431283289;913,413207870083;0,121463608584906
;56;56;0,316227757014633;248,40403552;7001,89235344091;7094,20656923015;80,7467972655164;1140,73236025545;0,121612647402037
;57;57;0,251188582572927;253,18004592;8628,31946045015;8742,59460357515;80,7259903646553;1408,92288322625;0,121561973355711
;58;58;0,199526085755936;258,89972076;10635,1890850795;10777,1004224488;80,6916452308362;1743,17143165909;0,12153886377022
;59;59;0,158489045074078;265,79909646;13198,3626565685;13377,2565934948;80,6192602383642;2180,416738584;0,121546521429953
;60;60;0,125892186330241;274,18134876;16131,3004522302;16357,9975334033;80,4501102067388;2713,89554380878;0,121621853299439
;61;61;0,0999996536104142;284,43731812;19982,9065781696;20287,7215544657;80,0554667185592;3503,58253216318;0,121650548170734
